"","Username","Tweet","V1"
"1","1momof5","the challenges of working at home and taking a day off new post the challenges of working at home and taking a day off beblogalicious digitalsisterhd daniellericks blogalicious romantic cafe deck lighting rt bonbonrosegirls do you work at home what do you love and hate about it fantasy fashion via fashorganized are you a coupon clipper how much time do you spend clipping discussing now in iheartsavvy ebates lolli reads is out top stories today via rachel mmoore laflowers carissarogers shop on us win a gift card from bonbonrosegirls formerly frumpy friday brunch with sarah jessica parker rt thenagainphoto first homecoming photostory friday gmybs new post safirecat you mean the bio meridian testing safirecat ohana c safirecat yeah me too i really should be asleep but i needed to get my post up ugh safirecat lol shopping for socks and checking chiropractors in other states i think you need to sleep safirecat psst more pics of k last saturday rt bonbonrosegirls spruce up your space your fall wardrobe i think we can all relate gt pulled stretched torn and i am not just talking about my belly via minutesformom don t ask me why i was looking for my own cleaning tips cleaning tips you might not expect eathealthyinfo you re welcome satchels under fashion friday via fashorganized","not anxious"
"2","5lbtrout","rt byugiff i think that s the last hashtag he wants to see mt lbtrout winningest qb in byu history but more importantly max leondenarnia just like hijodeputtis leondenarnia not at all like hijodeputtis how did i miss this gem v of many faces of bronco whysomuchemotion lb u shouldn t have told kaufusi he was thick me he s lbs he s not thin lb i guess it s better than calling him big mxrd as your dad once told me you re the most competitive guy there is you need to bring that competitiveness to twitter maxwasright the zhou dynasty lasted years the han amp shang dynasties lasted calling bama s titles dynasty is just stupid byuhcoffice maxwasright byumidmajor maxwasright harmonwrites maybe he was taking care if his churchy duties bishopdoman rt tbtoone an unlikely mormon former u basketball star shares conversion story lds twitterstake jeffchat first you tweet about how excited you were about twilight now downton abby you sir are comfy with your manhood sportsguyutah i wish i live miles away but i ll be at the santa clara game sat yikes be safe out there jedizaugg um somewhere out there is a road somewhere i guess the crowd will be thin for byubasketball game because of the nasty snow allylve you go girl yourparentsraisedyouright well i can t blame rose for benching zylstra after that beyond jimmer range peppvsbyu rt el xisco josh sharp is a rebounding machine peppvsbyu putting that round thingy into the basket thingy has been a challenge for byu tonight peppvsbyu smh really can t even make layup","not anxious"
"3","619sports","hey hey the aztecs lead two runs in the first off tcu starter stefan crichton a lead after one watch live a nd inning one out triple by tcu b derek odell cashed in on a sac fly the aztecs lead mid nd rt followthepadres kyle blanks to have labrum surgery on his left shoulder more on soon aztecs stopper ryan doran has k s through ip the aztecs maintain a lead mid rd the aztecs offense is back in the freezer with of retired since the two run st sdsu leads tcu tth aztecs uprising in the th back to back bs by muno zavala spirk rbi b sdsu leads bth tcu gets two in the top of the th big play at ss by sdsu s matt munoz to end the inning sdsu leads mid th aztecs closer justin hepner is going to try for a out save today aztecs leading top th watch live aztecs into mid th hanging on to that lead over tcu trying to salvage one from the mwc leaders watch live huge insurance run in the th a out wild pitch scores tanner riebenspies and the aztecs lead mid th sdsu would have had at least one more but a bad call at b ends the top th tune in for the exciting finish here aztecs win sing the fight song final sdsubaseball salvages a game from tcu ryan doran w worked strong innings for his rd straight win justin hepner ip for his th save big win aztecs well done ron artest wow you are some kind of stupid crazy nice elbow dude this is the week for me to make my first foray of into the padres clubhouse looking forward to chatting with buddy and the gang rt woedoctor small sample size or no my mind is blown rt cantpredictball the padres as a team have a better obp than albert every singer on teamceelo gt every singer on teamadam thevoice they ll sing songs about you john terry oh not good songs no not good at all but songs chelsea johnterry redcard beautiful chip from chelsea for a crucial road goal also ensuring a fun second half to watch wah wah wah you flop in the box to earn a questionable penalty your pk hits the post soccerkarma","not anxious"
"4","815wrldtrvlr","rt peds id doc the bush tax cuts trillion in lost revenue added to the national debt and counting via bert md murdoch s ny post fabricates statistic to vilify green jobs thinkprogress via addthis rt meetchina china china plans to build world s biggest airport near beijing china is set to become the via open doors in ontario via addthis fall festival time in canada via addthis rt marleybonez science september s full harvest moon sheds extra light on the weekend rt diamondheadsdg documentary horizon the core hd on the earth s core the south atlantic anomaly rt exphep count down three weeks to tevatron shutdown rt iraupdates ira top doctors award winners in more than duke doctors were recognized as top d rt iraupdates methotrexate blunts pneumococcal vaccine response patients should be vaccinated against pneumonia before starti http rt iraupdates fda strengthens kidney risk warning for reclast in light of more fatal cases of acute renal failure the agency http rt amfisheriessoc rt fishchoice responsible fishing seafood consumption key topic at afs experts eat more herring sard rt thescientistllc take a tour of the hippocampus where long term memories were created and stored rt thescientistllc psycohologist whose splashy findings on human nature routinely made the news has been dismissed for falsifying data rt mitnews have you seen today s mithomepage it s featuring work about a possible cure for the common cold and other viruses rt innocomm how well is science networked exciting study by royalsociety gt gt german blog rt gigascience few hours till bgi s webinar on decoding the deadly outbreak strain of ecoli am pdt pm gmt ehec rt ascopost drugshortages set to reach record levels usa today aurora in michigan gray blobs floating after hurricane irene identified as potato sponges via addthi","anxious"
"5","AbbeyxBlanford","having basic bitch conversations lol maddieyoung rt skylarhazl i love seeing people open the gifts i got them more than opening gifts for myself rt jessicaagia hey hey hey um excuse me you texted me first don t try to play it off like i texted you rt maddieyoung thegoogleimages nope us abbeyxblanford ur da on the bottom rt lohanthony oh my god rt parkerpell i stopped caring when you did why rt collblahh friends lol how about no rt tweetlikeagiri the definition of perfection rt meglolhan guess who will not be getting a new years kiss just like every other year me cool kailyebrahe frick balls i know mancrushmonday macklemore blakegriffin well tonight should be good this is cool rt missnouisbooty but hey troy and gabriella met at that ski lodge years ago today yay tho woo hoo i want u rt brian plans ruined like a mother fucker fuck fuck fuck fuck","not anxious"
"6","AdamRonis","michael canini i could see it close in that format jcswigga won t be as good as last season was fortunate with low homer total last season tbuss no adam whitney only need one get ellis to fill in chessboxer no gord for season if so duda theexecny stop hating on tex dbartleyjr yeah adam whitney no adam whitney pagan roy halladay left today s game with right shoulder soreness frank francisco gets another save has retired consecutive batters rt jsalisburycsn halladay said he has soreness in back of shoulder developed late in last start he does not anticipate it being seri jasonkmt wandy and scherzer for me blaze it first duo easy smartest tough to pick one looks like a committee ryan sweeney was activated from the disabled list phreddyl three earned runs or less in four consecutive starts so yeah gabemart depends who he replaces but in leagues that deep mostly a yes not much power and a decent average carlos ruiz was scratched with hamstring tightne","anxious"
"7","AmyODonnell","my son brendan is the kid who s science fair project made it regionals amp he s bummed b c it means more time on a science project lol we are stewards of the hearts of those god has entrusted to our care in our families amp on our teams speak life encourage cheer listen love in christ you are an overcomer you have his strength in you to empower you to stand up amp rise above your circumstances unstoppable you will not have to fight this battle take up yr positions stand firm amp see the deliverance the lord will give you chron mightytosave rt kellymata debra serrano sharing the values of relationship getting connected can save your life make you rich empower u lead h sometimes u hv to praise your way through to victory read more in my latest blog congrats brendan on nd at uil impromptu speaking way to go cierra with third brendan rt lisavanallen building better beliefs is out top stories today via debbie ford amyodonnell society thx lisa excited to have darryl strawberry with us shorelineatx this morning n s online amp powerful message of god s love hope amp freedom robkoke interviewing darryl strawberry amazing story of riches to rags to god s grace love healing amp ho our media room is slowly but surely turning in to a man cave gatheringspot football manlynoises not in toy season any more when we keep our eyes on what s most important we love serve lead amp give w more purpose passion amp energy keepthemainthingthemainthing happy birthday to lynnmariecherry u r a great wife mom leader speaker writer singer amp friend such a blessing in so many ways xoxox let god write your story amp you ll live a story worth telling unknown freedom comes as you surrender your life to god and begin to live it in the wide open spaciousness of his amazing love lovewithoutend let everything that has breath praise the lord ps rt paultripp grace causes your heart to be obedient but your obedience is not the basis of god turning his heart of grace toward you happy birthday to my brilliant artistic creative big bro dandixon the big wow can not believe it love u rt dandixon amyodonnell shhh it s a secret the kids think i m lol if so when they do the math it will lead lots of questions self awareness is an important ingredient healthy relationships take time w jesus do heart amp motive checks amp some personal reflection","not anxious"
"8","andreaallegrone","i d like to pledge not to use disposable plastic but so much is wrapped in it life before plastic difficult to fathom need eco packaging the twilight zone with the human teddy bear on the airplane wing with william shatner reminds me of hello kitty paraphernalia aaaghh puppy it foreshadowed the contemporary cutesy movement expression on shatner s face is hilarious trevorjonesart hey the link did work but my phone needed charging checked it out on laptop awesome drawings really beautiful rt nbcnews florida pilot spots theft at his home from his airplane awesome rt ethancrankeart singlebecause i m poor picky and socially retarded ethancrankeart you ll be fine but lol rt valekilmer is photo art too subtle for twitter fun this is the last good picture i took my sons gotten back into nine inch nails that s funny painting progress ethancrankeart ooh i m sorry that sucks that s just though it is agonizing how many dates you have to go on to find some special ethancrankeart maybe an outing group you never know u like biking just keep trying a new year rt mortythemouth while reading your tweet i forgot my own a k baby k k kute rt seasaver seal pup tourists on norfolk coast chaotic for roads scotland take note you don t shoot an asset adorable spiritanimalsweare rt mr kanyewest be strong enough to hold on if it s worth it amp strong enough to let go if it isn t easier said than done","not anxious"
"9","AndrewTheMild","i never seen a movie character use a chainsaw to actually cut wood i sharpen the ass end of my pencils so i can dual wield rt jarodgo hey i m on a date with a girl i met on christian mingle and it is not going well should i christian bail a dog s weight is inversely proportional to the number of times it pees during a walk frankconniff escape from buffalo new york addawordruinamovie fred delicious this town ain t big enough for the two of us whips out dildo oh my the village people vs larry flynt addawordruinamovie pauleyp well she drinks caf pow every time i see a large orchestra performing i always wonder if there s one guy who s only pretending to play ristolable didn t get your wish huh marlomeekins you have to defeat a verified twitter account holder by pinfall or submission penis is the only body part whose real name sounds funnier than any of the slang terms for it rainnwilson could ve sworn you were spartacus pattonoswalt proof and characters modysoul doesn t rhyme with shaves huh on the other side of the world directly opposite easter island a bunch of giant stone feet are sticking up out of the ground zachbraff uberfacts i like the fact that they re recognized terms no doubt some advisory board takes hundreds of applications each year in the nfl was more concerned about the long term effects of seeing janet jackson s boob than the effects of multiple head injuries fred delicious i applaud the tire swings for staying neutral throughout the conflict a controversial decision as i recall reallucylawless good thing it s the word of the day it ll take me that long to say it","not anxious"
"10","AnswerDave","no kiddin rt hard they showed a fan with a kieschnick jersey earlier find him answerdave saw a geoff jenkins brewers shirsey at miller park today casey mcgehee gets to play too pinch hitting here in the eighth godlovem them neither rt vansantc answerdave i once saw geoff jenkins at disney world or it was brett favre i never know no booing of outs when you re up in the th of a playoff game rt jh moore boos for casey are too much it s not like he isn t trying it was a woman of the womanly persuasion rt hewish answerdave was it actually geoff jenkins no movement on his fastball rt phuturephillies dick stockton sucks at baseball some people might have understood that reference rt sonofadeitch cliff lee pulled his best disco move on deney terrio right there they all hang with glenn beck rt missclare do albert pujols and tony larussa have an adversarial relationship anyone ryan braun joking but for real on zack greinke zack lives his life awkwardly aaron hill wasn t upset about the call ump james hoye made on his non double in the first he got a single anyway what was i for pence the sarcasm rt lonettomb petzrawr hence the sarcasm three pence belly itcher rt joes answerdave how about six pence none the richer aww yeah sausage we must be on the eve of that rt kevin goldstein nice audible squeal of frustration from punto there squealoffrustration i tal i an rt daynperry punto gonna punto red sox yankees rt andyhutchins i m confident this is the longest first half in the history of football what is wrong with you people rt petzrawr john finger everybody rt jrfingercsn petzrawr here s some pics watchoo talkin bout penguin rt zoowithroy different strike zones weird screen cap of fade in out of ziegler error juxtaposed w lucroy doing beast mode collectible brewer","anxious"
