Gender,Text,Description,User Name,User Screen Name,Text Color,Link Color,Sidebar Color,Border Color,Background Color
1,How about I either get the flu or school gets cancelled ya know so I don t have to do homework,,Corey Flynn,CFlyy03,333333,0084B4,DDEEF6,C0DEED,C0DEED
1,Nothing helps me get over this cold or flu then stepping outside real quick with my baby girl while,,Josh Satterfield,joshsatt1,0C3E53,FF0000,FFF7CC,F2E195,BADFCD
2,FACT Symptoms of carbon monoxide poisoning are similar to the flu CO alarm up your home 6abc OperationSaveALife,,Kristy Sevag,SevagPR,333333,990000,EFEFEF,EEEEEE,EBEBEB
2,Roses always make the flu go away Thanks jckerstetter amp Lulo y all casa de los pugs,,Jenny Rain,JennyRain,453F38,279177,DBD5D0,FFFFFF,FFFFFF
2,molliekay How can you have flu twice I protest this situation,,Melissa Depper,MelissaZD,663B12,1F98C7,DAECF4,C6E2EE,C6E2EE
2,The flu,,Christy Vennikov,xtytyty,333333,B0B0B0,FFFFFF,FFFFFF,FFFFFF
1,Alright everyone notifications are out and the session list is posted I m going back to bed to try to get over this flu,,ChadGreen,ChadGreen,333333,0084B4,DDFFCC,BDDCAD,131613
2,Pretty sure I have the flu,,Brittttttin,britatherton,DE21DE,0084B4,DDEEF6,C0DEED,F5F0F0
1,I finally get over the stomach flu just to get a nasty cold 3 days later,,princess stephii,Stephiimarie15,3D1957,FF00CC,7AC3EE,FFFFFF,642D8B
1,BeneToumpsin Somehow I unfollowed you on Instagram got over the flu now on antibiotics for strep that s my story haveagreatyear,,Tony Rodriguez,TheTonyRod,333333,0084B4,DDEEF6,C0DEED,C0DEED
2,Srsly starting to think they modeled Jack Skellington s movement after flu patients from blondie 515 on Tumblr,,Script Reader Brit,BritMcGinnis,333333,93A644,FFFFFF,FFFFFF,B2DFDA
2,Stages Of Having The Flu As Told By Taylor Swift Lyrics,,Alyssa Brooke,AlyssaBWarren,333333,0084B4,DDEEF6,C0DEED,C0DEED
2,Sad story but shows once again the failure of the flu vaccine,,Dr Sherri Tenpenny,BusyDrT,333333,0084B4,DDEEF6,C0DEED,C0DEED
2,Whose high off day time cold amp flu relief fuck,,Kelly Lawlor,LawlorKelly,666666,299BE6,252429,181A1E,FFFFFF
2,Busywork No I m going crazy trying to recover from that awful flu Real Wood Works,,sherry barrow,qtdesign,333333,0084B4,DDEEF6,C0DEED,C0DEED
2,Santa Clara County reports first flu death of the season taseipel,,Dennis Akizuki,dakizuki,333333,0084B4,DDEEF6,C0DEED,C0DEED
2,According to 1982 J infect Dis Article flu virus survives 8 12hrs on paper Lots of Ss sniffles in exam today delay grading til tomorrow,,Jennifer Garner,BiologyJen,333333,0084B4,DDEEF6,C0DEED,C0DEED
1,Finally got my fever to break I definitely have the flu,,Mycah,MycahMarie,D80DE3,6A0DE3,0E0E0F,D80DE3,6A0DE3
2,Easing back into cardio First time since the stupid stomach flu last week,,AvsAngelsChick,AvsAngelsChick,362720,7C0DB3,E5507E,FFFFFF,FF6699
