User ID,Text,User Name,User Screen Name,Text Color,Link Color,Sidebar Color,Border Color,Background Color,Created At,Hour,Sleep Time
560226075725537280,I Got The Flu,,YoNiggaType,3D1957,FF0000,7AC3EE,65B0DA,642D8B,Tue Jun 30 16:53:49 +0000 2009,16,0
560225755893075968,16 flu related deaths have been reported in Idaho,Times News,twinfallstn,333333,8C290F,EFEFEF,FFFFFF,030303,Fri Apr 16 18:13:13 +0000 2010,18,0
560225848943706112,After a busy start to the flu season the number of cases in Pennsylvania dropped for the third straight week,The Reading Eagle,ReadingEagle,3C3940,0099B9,EBEBEB,21484A,7F8A8C,Mon Sep 22 19:18:31 +0000 2008,19,0
560225936504000513,How about I either get the flu or school gets cancelled ya know so I don t have to do homework,Corey Flynn,CFlyy03,333333,0084B4,DDEEF6,C0DEED,C0DEED,Wed Apr 02 01:27:50 +0000 2014,01,1
560225989494833153,Nothing helps me get over this cold or flu then stepping outside real quick with my baby girl while,Josh Satterfield,joshsatt1,0C3E53,FF0000,FFF7CC,F2E195,BADFCD,Tue Oct 06 21:35:30 +0000 2009,21,0
560226069144674306,FACT Symptoms of carbon monoxide poisoning are similar to the flu CO alarm up your home 6abc OperationSaveALife,Kristy Sevag,SevagPR,333333,990000,EFEFEF,EEEEEE,EBEBEB,Thu Jun 23 00:29:08 +0000 2011,00,1
560226073154445313,Did you get your flu shot Two people in Fresno County have died from the virus,KSEE24 News,KSEE24,071435,F50A0A,50A6DC,FFFFFF,0D6EBD,Fri Feb 13 23:08:18 +0000 2009,23,0
560226085322096641,AskPOZ I m HIV positive so is it safe for me to get a flu shot,POZ Magazine,pozmagazine,3C3940,FF6600,FFFF99,000000,FFCC00,Wed Mar 18 16:52:36 +0000 2009,16,0
560226296639541249,Roses always make the flu go away Thanks jckerstetter amp Lulo y all casa de los pugs,Jenny Rain,JennyRain,453F38,279177,DBD5D0,FFFFFF,FFFFFF,Thu Feb 12 21:34:27 +0000 2009,21,0
560226323537604608,pozmagazine AskPOZ I m HIV positive so is it safe for me to get a flu shot,LGBT BLoGchaT,LGBTSeniorNiche,333333,0084B4,DDEEF6,C0DEED,C0DEED,Sat Sep 28 03:21:11 +0000 2013,03,1
